L,alfa,n,mW,Estimator,MSE,Bias,mean_sesgo
2,-1.5,9,3,AHE,0.481822667,-0.209923946,0.288734478
2,-3,9,3,AHE,0.303364665,-0.27205037,0.288734478
2,-5,9,3,AHE,0.282566976,-0.33125148,0.288734478
2,-8,9,3,AHE,0.265682232,-0.341712116,0.288734478
2,-1.5,25,5,AHE,0.142088018,-0.002857568,0.081847473
2,-3,25,5,AHE,0.082930466,-0.094407545,0.081847473
2,-5,25,5,AHE,0.064125883,-0.11009968,0.081847473
2,-8,25,5,AHE,0.058369989,-0.120025099,0.081847473
2,-1.5,49,7,AHE,0.071387775,0.04724084,0.046419852
2,-3,49,7,AHE,0.040464036,-0.023030919,0.046419852
2,-5,49,7,AHE,0.03024153,-0.054241068,0.046419852
2,-8,49,7,AHE,0.027132072,-0.061166582,0.046419852
2,-1.5,81,9,AHE,0.04483432,0.065780124,0.028237525
2,-3,81,9,AHE,0.021387213,0.003793599,0.028237525
2,-5,81,9,AHE,0.017095231,-0.017407925,0.028237525
2,-8,81,9,AHE,0.0141015,-0.025968451,0.028237525
2,-1.5,121,11,AHE,0.031666927,0.067817512,0.024608235
2,-3,121,11,AHE,0.016413164,0.008832948,0.024608235
2,-5,121,11,AHE,0.011256806,-0.007737335,0.024608235
2,-8,121,11,AHE,0.009467141,-0.014045146,0.024608235
2,-1.5,9,3,HC,0.499483203,-0.164581855,0.265919097
2,-3,9,3,HC,0.304451372,-0.247628992,0.265919097
2,-5,9,3,HC,0.285173224,-0.318828144,0.265919097
2,-8,9,3,HC,0.266661737,-0.332637398,0.265919097
2,-1.5,25,5,HC,0.154061059,0.039249757,0.075305752
2,-3,25,5,HC,0.083705394,-0.067711765,0.075305752
2,-5,25,5,HC,0.06331605,-0.090768728,0.075305752
2,-8,25,5,HC,0.056265298,-0.103492759,0.075305752
2,-1.5,49,7,HC,0.080797329,0.081492824,0.041388984
2,-3,49,7,HC,0.042221583,-0.001260988,0.041388984
