L;n;alfa.MV;alfa.GA;alfa.LN;alfa.LC
3.21;9;-2.891943893;-3.633691047;-1.674296609;-2.519502352
3.21;9;-12.94024051;-5.732170458;-20;-20
3.21;9;-13.973562;-4.474219373;-18.81455087;-20
3.21;9;-16.1619425;-3.657754487;-3.112588154;-2.803597775
3.21;9;-6.734180778;-2.959418644;-2.173533416;-9.292041001
3.21;9;-20;-3.982763673;-2.417332959;-20
3.21;9;-20;-20;-20;-3.464683292
3.21;9;-20;-20;-10.36719758;-20
3.21;9;-7.126770549;-3.718358425;-2.263366157;-20
3.21;9;-3.694505463;-3.319308179;-1.934170105;-2.915558147
3.21;9;-20;-5.77223467;-3.828550063;-20
3.21;9;-20;-5.841856416;-3.348967862;-6.652084656
3.21;9;-20;-6.549760926;-3.112705549;-7.527531353
3.21;9;-4.315608383;-2.963380756;-2.69499508;-20
3.21;9;-20;-9.832066365;-4.460664183;-20
3.21;9;-5.312548786;-3.710709417;-2.804287619;-20
3.21;9;-20;-5.862756025;-2.543853945;-20
3.21;9;-20;-4.139814035;-8.169094575;-20
3.21;9;-11.43326213;-4.991264891;-1.867403555;-20
3.21;9;-20;-20;-1.752639566;-20
3.21;9;-13.85968928;-7.280548222;-2.543659835;-20
3.21;9;-20;-6.208675766;-1.444664066;-20
3.21;9;-20;-9.670131878;-2.990961763;-20
3.21;9;-10.75417707;-4.411590398;-8.306633705;-10.33361243
3.21;9;-20;-4.646602149;-1.952755756;-20
3.21;9;-20;-11.13793267;-1.887199793;-20
3.21;9;-20;-4.010684239;-1.906984763;-4.371687105
3.21;9;-10.04026292;-9.520995142;-12.49961317;-20
3.21;9;-3.945544644;-4.430277117;-2.660659486;-5.878032027
3.21;9;-20;-2.296098543;-1.463652914;-20
3.21;9;-11.13225369;-20;-6.077789633;-10.72352734
3.21;9;-2.510771139;-3.477575766;-2.185284136;-1.790701039
3.21;9;-3.969729913;-3.219757333;-1.921737663;-14.31722516
3.21;9;-13.48637669;-3.8568298;-4.223904365;-20
3.21;9;-13.87511272;-3.4501211;-1.864578102;-3.23739059
3.21;9;-14.72794537;-20;-2.304895268;-6.605159607
3.21;9;-17.92993438;-6.780786353;-1.834926255;-2.739628383
3.21;9;-20;-4.112231166;-2.939597165;-3.991769577
3.21;9;-7.744615687;-11.05761748;-6.065887482;-20
3.21;9;-4.267365455;-3.938298399;-3.900024013;-2.589407051
3.21;9;-20;-20;-2.199859128;-20
3.21;9;-20;-13.37640514;-13.53237228;-8.581389216
3.21;9;-20;-2.792819057;-9.297649338;-20
3.21;9;-2.569991993;-2.56169591;-2.874556976;-2.715932382
3.21;9;-14.31306368;-3.456805887;-2.428864912;-20
3.21;9;-8.112028152;-5.419728955;-2.701638659;-8.351498752
3.21;9;-20;-2.463622254;-2.349456968;-2.803934438
3.21;9;-20;-9.654809884;-2.193135387;-6.7871135
3.21;9;-4.296249647;-9.889719087;-3.890168465;-2.975462956
3.21;9;-20;-12.24289937;-5.624054992;-20
3.21;9;-20;-20;-3.678645552;-20
3.21;9;-10.17637651;-4.346440199;-4.145023673;-2.701535317
3.21;9;-2.401668723;-8.04953854;-1.886851259;-2.664913913
3.21;9;-20;-20;-10.60378327;-20
3.21;9;-20;-7.096753072;-20;-20
3.21;9;-14.81654765;-2.777796346;-2.036317526;-20
3.21;9;-5.655686476;-3.811750653;-2.603180745;-20
