grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
1.00E-04,8,-1.5,-1.609907473,-2.1933891,-1.286199211,-1.666685425
0.0101,8,-1.5,-1.746129261,-2.160892294,-1.89848479,-2.057433467
0.0201,8,-1.5,-1.836042217,-2.144108854,-1.9033428,-2.14627714
0.0301,8,-1.5,-1.904401062,-2.126035885,-1.848220748,-2.203386001
0.0401,8,-1.5,-1.959602634,-2.118571811,-1.806570938,-2.246195493
0.0501,8,-1.5,-2.005711224,-2.104923172,-1.793785185,-2.280569583
0.0601,8,-1.5,-2.045074822,-2.101665847,-1.790969308,-2.309328982
0.0701,8,-1.5,-2.079193206,-2.090402302,-1.794664644,-2.334035472
0.0801,8,-1.5,-2.109095729,-2.089968274,-1.814496752,-2.355657333
0.0901,8,-1.5,-2.135518157,-2.079232726,-1.822939373,-2.374840078
0.1001,8,-1.5,-2.159024587,-2.079093188,-1.845281083,-2.392037618
0.1101,8,-1.5,-2.180042625,-2.079933671,-1.854767057,-2.407582481
0.1201,8,-1.5,-2.198913155,-2.081586662,-1.864060396,-2.42172631
0.1301,8,-1.5,-2.215911672,-2.073988399,-1.872975481,-2.434664632
0.1401,8,-1.5,-2.231264569,-2.077087363,-1.881425197,-2.446552732
0.1501,8,-1.5,-2.24516053,-2.080682613,-1.889377034,-2.457516236
0.1601,8,-1.5,-2.257758718,-2.084678664,-1.912911906,-2.467658385
0.1701,8,-1.5,-2.2691948,-2.088993831,-1.92009343,-2.477065197
0.1801,8,-1.5,-2.279585459,-2.093557964,-1.926778607,-2.485809191
0.1901,8,-1.5,-2.289031858,-2.098310618,-1.932993476,-2.493952153
0.2001,8,-1.5,-2.297622314,-2.103199552,-1.938764828,-2.501547217
0.2101,8,-1.5,-2.305434409,-2.108179517,-1.944119121,-2.508636145
0.2201,8,-1.5,-2.312536679,-2.113211248,-1.949081898,-2.515267101
0.2301,8,-1.5,-2.318989961,-2.118260629,-1.953677498,-2.521471916
0.2401,8,-1.5,-2.324848508,-2.123298006,-1.957928931,-2.527281923
0.2501,8,-1.5,-2.330160893,-2.128297605,-1.944452505,-2.532725005
0.2601,8,-1.5,-2.334970763,-2.133237044,-1.948000029,-2.537826099
0.2701,8,-1.5,-2.339317474,-2.143800159,-1.951273747,-2.542607619
0.2801,8,-1.5,-2.343236615,-2.14831314,-1.954290745,-2.547089792
0.2901,8,-1.5,-2.346760466,-2.1527329,-1.95706703,-2.551290949
0.3001,8,-1.5,-2.349918375,-2.157047572,-1.959617581,-2.555227761
0.3101,8,-1.5,-2.35273709,-2.161246934,-1.961956419,-2.558915444
0.3201,8,-1.5,-2.355241045,-2.165322237,-1.964096662,-2.56236793
0.3301,8,-1.5,-2.357452603,-2.169266062,-1.966050584,-2.565598012
0.3401,8,-1.5,-2.359392271,-2.173072186,-1.967829675,-2.568617473
0.3501,8,-1.5,-2.361078887,-2.176735464,-1.969444689,-2.571437191
0.3601,8,-1.5,-2.362529785,-2.180251729,-1.970905722,-2.574067236
0.3701,8,-1.5,-2.363760941,-2.183617697,-1.972222271,-2.576516948
0.3801,8,-1.5,-2.364787098,-2.186830886,-1.973402977,-2.578795015
0.3901,8,-1.5,-2.365621879,-2.194617137,-1.974456218,-2.580909526
0.4001,8,-1.5,-2.366277893,-2.197463364,-1.975389753,-2.582868037
0.4101,8,-1.5,-2.366766819,-2.200166623,-1.95865343,-2.584677611
0.4201,8,-1.5,-2.367099493,-2.202726476,-1.959380478,-2.586344866
0.4301,8,-1.5,-2.367285971,-2.205142939,-1.960011291,-2.587876013
0.4401,8,-1.5,-2.367335604,-2.207416447,-1.960551659,-2.589276886
0.4501,8,-1.5,-2.367257091,-2.209547807,-1.961007014,-2.590552979
0.4601,8,-1.5,-2.367058531,-2.211538167,-1.961382456,-2.59170947
0.4701,8,-1.5,-2.366747474,-2.213388982,-1.961682774,-2.592751244
0.4801,8,-1.5,-2.366330961,-2.215101982,-1.961912463,-2.593682919
0.4901,8,-1.5,-2.365815569,-2.216679144,-1.962075748,-2.594508864
0.5001,8,-1.5,-2.365207437,-2.218122663,-1.962176596,-2.595233217
0.5101,8,-1.5,-2.36451231,-2.219434931,-1.962218737,-2.595859904
0.5201,8,-1.5,-2.36373556,-2.220618508,-1.962205676,-2.596392648
0.5301,8,-1.5,-2.362882216,-2.221676107,-1.962140707,-2.596834991
0.5401,8,-1.5,-2.361956992,-2.222610567,-1.962026928,-2.597190299
0.5501,8,-1.5,-2.360964303,-2.223424839,-1.961867254,-2.597461779
0.5601,8,-1.5,-2.359908294,-2.224121964,-1.961664424,-2.597652485
