L,alfa,grilla,MV,alfa.GA,alfa.LN,alfa.LC,,
3,-3,1.00E-04,-4.019066877,-4.135494805,-1.56076706,-2.062869904,,
3,-3,0.0101,-4.095726951,-3.966411593,-2.744513768,-3.122066519,,
3,-3,0.0201,-4.170019192,-3.92563483,-2.920489061,-3.449122555,,
3,-3,0.0301,-4.242163342,-3.899342226,-2.835598074,-3.68459742,,
3,-3,0.0401,-4.312342415,-3.880845578,-2.726701352,-3.876365079,,
3,-3,0.0501,-4.380710663,-3.867536594,-2.651203754,-4.041410354,,
3,-3,0.0601,-4.447399325,-3.87066779,-2.641743695,-4.188045598,,
3,-3,0.0701,-4.512520994,-3.863342666,-2.646590596,-4.320943557,,
3,-3,0.0801,-4.576172973,-3.870180562,-2.660452069,-4.44306125,,
3,-3,0.0901,-4.638439893,-3.866979439,-2.679512736,-4.556433588,,
3,-3,0.1001,-4.699395779,-3.865795995,-2.701398584,-4.662442425,,
3,-3,0.1101,-4.759105707,-3.876691997,-2.768630274,-4.762157324,,
3,-3,0.1201,-4.817627147,-3.876713429,-2.791052379,-4.856381382,,
3,-3,0.1301,-4.87501105,-3.884190837,-2.808203321,-4.945752266,,
3,-3,0.1401,-4.931302748,-3.882778156,-2.825166427,-5.030772792,,
3,-3,0.1501,-4.986542705,-3.882668806,-2.841797635,-5.111831135,,
3,-3,0.1601,-5.040767142,-3.883751822,-2.858017634,-5.189346568,,
3,-3,0.1701,-5.094008206,-3.885896416,-2.873786251,-5.263511411,,
3,-3,0.1801,-5.14629591,-3.889002867,-2.889086437,-5.334611557,,
3,-3,0.1901,-5.197656164,-3.902506322,-2.903913728,-5.402854105,,
3,-3,0.2001,-5.24811275,-3.907351177,-2.918271728,-5.468401254,,
3,-3,0.2101,-5.297687176,-3.912957225,-2.932168652,-5.531454046,,
3,-3,0.2201,-5.346398913,-3.91925121,-2.94561532,-5.592132014,,
3,-3,0.2301,-5.394265615,-3.926169924,-3.01108688,-5.65051429,,
3,-3,0.2401,-5.441303306,-3.933648757,-3.02418309,-5.706773429,,
3,-3,0.2501,-5.487526536,-3.941634184,-3.036857356,-5.76098018,,
3,-3,0.2601,-5.532948538,-3.950075642,-3.04912338,-5.813227663,,
3,-3,0.2701,-5.577581349,-3.958926679,-3.060993898,-5.863596207,,
3,-3,0.2801,-5.621435924,-3.968144488,-3.072479835,-5.912159195,,
3,-3,0.2901,-5.664529258,-3.977689559,-3.083593405,-5.95903418,,
3,-3,0.3001,-5.706855785,-3.987525525,-3.094345826,-6.004193481,,
3,-3,0.3101,-5.748431389,-4.011836645,-3.104749204,-6.047757562,,
3,-3,0.3201,-5.789263677,-4.022672856,-3.114811176,-6.089766978,,
3,-3,0.3301,-5.829359579,-4.033725661,-3.124542846,-6.130272848,,
3,-3,0.3401,-5.868725414,-4.044953635,-3.133953835,-6.169323067,,
3,-3,0.3501,-5.907366947,-4.056334605,-3.143052497,-6.20696265,,
3,-3,0.3601,-5.945289441,-4.067842959,-3.151850095,-6.24323404,,
3,-3,0.3701,-5.982497704,-4.079454746,-3.221322261,-6.278177365,,
3,-3,0.3801,-6.018996137,-4.091147544,-3.229929884,-6.311830668,,
3,-3,0.3901,-6.054788774,-4.102900339,-3.238263754,-6.344230108,,
3,-3,0.4001,-6.089879311,-4.093587072,-3.246317539,-6.375410135,,
3,-3,0.4101,-6.124271148,-4.106689431,-3.254099672,-6.405403641,,
3,-3,0.4201,-6.157967426,-4.117929347,-3.261614231,-6.434242101,,
3,-3,0.4301,-6.190971042,-4.129158906,-3.268871149,-6.461955687,,
3,-3,0.4401,-6.22328468,-4.140363753,-3.275877713,-6.48857338,,
3,-3,0.4501,-6.254910851,-4.151530374,-3.282636555,-6.514123061,,
3,-3,0.4601,-6.285851889,-4.162646041,-3.289156621,-6.538631593,,
