L,grilla,alfa,MV,alfa.GA,alfa.LN,alfa.LC
3,1.00E-04,-5,-7.382304304,-5.493721318,-3.628383299,-2.246017141
3,0.0101,-5,-7.549293881,-5.171352376,-4.319228412,-3.832727782
3,0.0201,-5,-7.71572179,-5.050484964,-4.451424338,-4.41828744
3,0.0301,-5,-7.881583031,-5.013984119,-4.460024313,-4.874771312
3,0.0401,-5,-8.046984381,-4.988205039,-4.448668281,-5.270791428
3,0.0501,-5,-8.212154585,-4.969665284,-4.417920882,-5.630879749
3,0.0601,-5,-8.377134816,-4.956506111,-4.392468761,-5.966938161
3,0.0701,-5,-8.542009743,-4.947593782,-4.37134358,-6.285685451
3,0.0801,-5,-8.706854385,-4.942252191,-4.373111702,-6.591379625
3,0.0901,-5,-8.871735693,-4.939921016,-4.376585166,-6.886764657
3,0.1001,-5,-9.036713707,-4.940219167,-4.362607173,-7.173877242
3,0.1101,-5,-9.201842527,-4.991211883,-4.368978929,-7.454118501
3,0.1201,-5,-9.367170942,-4.995372739,-4.376447452,-7.728547333
3,0.1301,-5,-9.532743032,-5.001561055,-4.384902224,-7.997975367
3,0.1401,-5,-9.698331023,-5.059233119,-4.394247476,-8.262998645
3,0.1501,-5,-9.864481015,-5.068146109,-4.403990967,-8.524096821
3,0.1601,-5,-10.03098406,-5.0670146,-4.424378365,-8.78163732
3,0.1701,-5,-10.19786861,-5.06741829,-4.426837817,-9.035915314
3,0.1801,-5,-10.36515968,-5.120295162,-4.429813113,-9.287154455
3,0.1901,-5,-10.53287917,-5.123222939,-4.433259508,-9.535537204
3,0.2001,-5,-10.70104601,-5.127397473,-4.437129893,-9.78114312
3,0.2101,-5,-10.8696763,-5.132750848,-4.441383916,-10.02411598
3,0.2201,-5,-11.03878354,-5.139157535,-4.445991312,-10.26448344
3,0.2301,-5,-11.2085673,-5.146545017,-4.450902712,-10.50231028
3,0.2401,-5,-11.3786784,-5.209170618,-4.456101987,-10.73759785
3,0.2501,-5,-11.54929217,-5.218592295,-4.461557197,-10.97036794
3,0.2601,-5,-11.72041214,-5.228854825,-4.467250189,-11.20058975
3,0.2701,-5,-11.89203952,-5.239842645,-4.47313411,-11.42824556
3,0.2801,-5,-12.06417331,-5.251537354,-4.479209689,-11.65330139
3,0.2901,-5,-12.23656807,-5.263866947,-4.485451901,-11.87571453
3,0.3001,-5,-12.40953925,-5.276776821,-4.49183503,-12.09538457
3,0.3101,-5,-12.58319752,-5.290236474,-4.498350669,-12.31234649
3,0.3201,-5,-12.75736943,-5.36623541,-4.525419982,-12.52647309
3,0.3301,-5,-12.93186342,-5.381372607,-4.532334966,-12.73771204
3,0.3401,-5,-13.10654667,-5.396947451,-4.539343705,-12.9459926
3,0.3501,-5,-13.28228713,-5.412921236,-4.546409981,-13.15124141
3,0.3601,-5,-13.45147507,-5.429238052,-4.553556447,-13.35338323
3,0.3701,-5,-13.63446088,-5.445884178,-4.560757991,-13.55234159
3,0.3801,-5,-13.81115784,-5.46279969,-4.568004072,-13.74803897
3,0.3901,-5,-13.9882114,-5.479971181,-4.575284861,-13.94039877
3,0.4001,-5,-14.16556577,-5.497360895,-4.582591185,-14.12934384
3,0.4101,-5,-14.34318409,-5.514939134,-4.589914468,-14.31479815
3,0.4201,-5,-14.52104259,-5.532669885,-4.597246683,-14.49668695
3,0.4301,-5,-14.69911862,-5.550552031,-4.604580591,-14.67493715
3,0.4401,-5,-14.87738507,-5.568533031,-4.635907109,-14.84949757
3,0.4501,-5,-15.05580891,-5.586605708,-4.643435154,-15.02026203
3,0.4601,-5,-15.23435098,-5.604741402,-4.650980744,-15.187182
