grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
1.00E-04,8,-8,-5.051139998,-6.470907471,-1.998745349,-2.235131151
0.0101,8,-8,-5.380961178,-6.456675119,-4.340900352,-3.785457157
0.0201,8,-8,-5.687451039,-6.437130807,-5.513474068,-4.351829078
0.0301,8,-8,-5.976588331,-6.412523974,-5.861482506,-4.791495782
0.0401,8,-8,-6.252208425,-6.384491435,-6.04554736,-5.171751876
0.0501,8,-8,-6.516928998,-6.354235681,-6.036387146,-5.516617606
0.0601,8,-8,-6.772579134,-6.098305637,-6.014334858,-5.837795176
0.0701,8,-8,-7.020728836,-6.068822848,-5.980649072,-6.141897778
0.0801,8,-8,-7.262311783,-6.039965361,-5.936916125,-6.43306751
0.0901,8,-8,-7.498226361,-5.817860307,-5.884993649,-6.714042052
0.1001,8,-8,-7.729157777,-5.794767152,-5.826975266,-6.986830985
0.1101,8,-8,-7.95570931,-5.603357207,-5.765156638,-7.252804157
0.1201,8,-8,-8.178163018,-5.58720199,-5.702008852,-7.513027087
0.1301,8,-8,-8.3971017,-5.42347154,-5.477582327,-7.768303261
0.1401,8,-8,-8.612768157,-5.414268118,-5.425109054,-8.019264133
0.1501,8,-8,-8.825386925,-5.274420763,-5.235509025,-8.266375574
0.1601,8,-8,-9.03524288,-5.271590376,-5.071960053,-8.510025179
0.1701,8,-8,-9.242511232,-5.151819046,-5.055445896,-8.750510175
0.1801,8,-8,-9.44735813,-5.154535733,-4.931297752,-8.988075736
0.1901,8,-8,-9.649925931,-5.05136943,-4.828491246,-9.222912974
0.2001,8,-8,-9.850336642,-5.058782419,-4.848833137,-9.455143207
0.2101,8,-8,-10.04877382,-5.067883258,-4.773441516,-9.684942381
0.2201,8,-8,-10.24516248,-5.078632241,-4.71004927,-9.912320172
0.2301,8,-8,-10.43965821,-4.993388417,-4.753784336,-10.13735835
0.2401,8,-8,-10.6322927,-5.007651308,-4.703707099,-10.36012662
0.2501,8,-8,-10.82320505,-5.023338995,-4.755945747,-10.58061471
0.2601,8,-8,-11.01239633,-5.040409891,-4.712995201,-10.79883081
0.2701,8,-8,-11.19990217,-5.058830435,-4.76980848,-11.01480902
0.2801,8,-8,-11.38566669,-5.07857112,-4.828811951,-11.22849845
0.2901,8,-8,-11.56994179,-5.099596916,-4.789007792,-11.43989009
0.3001,8,-8,-11.75255683,-5.030623277,-4.849282185,-11.64895488
0.3101,8,-8,-11.93356293,-5.145387067,-4.910687074,-11.85565726
0.3201,8,-8,-12.11293249,-5.170100023,-4.870431329,-12.05990598
0.3301,8,-8,-12.29071968,-5.177810937,-4.901821445,-12.26175288
0.3401,8,-8,-12.46690572,-5.185257209,-5.036384974,-12.46107491
0.3501,8,-8,-12.64148144,-5.19344949,-5.066357456,-12.65783605
0.3601,8,-8,-12.81443373,-5.202324312,-5.095685952,-12.85197951
0.3701,8,-8,-12.98574691,-5.31182448,-5.124328789,-13.0434465
0.3801,8,-8,-13.15540301,-5.322460783,-5.152263298,-13.2321767
0.3901,8,-8,-13.32338166,-5.33367332,-5.179474924,-13.41810875
0.4001,8,-8,-13.48966022,-5.345414284,-5.205961581,-13.60118069
0.4101,8,-8,-13.65421353,-5.357633779,-5.2317118,-13.78132998
0.4201,8,-8,-13.817014,-5.370284387,-5.256741096,-13.9584953
0.4301,8,-8,-13.97803165,-5.494674048,-5.401674957,-14.13261489
0.4401,8,-8,-14.13723434,-5.508937541,-5.426386141,-14.3036281
0.4501,8,-8,-14.29458771,-5.523543817,-5.450366706,-14.47147542
0.4601,8,-8,-14.45005561,-5.538434887,-5.47363514,-14.63609876
0.4701,8,-8,-14.60360016,-5.553575584,-5.496207422,-14.79744169
0.4801,8,-8,-14.75518186,-5.568928795,-5.518086177,-14.95547092
0.4901,8,-8,-14.90475978,-5.584446905,-5.539281556,-15.11009349
0.5001,8,-8,-15.05229195,-5.727213209,-5.692584095,-15.26122841
0.5101,8,-8,-15.19773491,-5.744135098,-5.713439655,-15.40892804
0.5201,8,-8,-15.34104454,-5.761137872,-5.733642186,-15.55309738
0.5301,8,-8,-15.48217546,-5.778188215,-5.753183679,-15.69369428
0.5401,8,-8,-15.62108201,-5.795254503,-5.772095783,-15.8306795
0.5501,8,-8,-15.75771745,-5.812306892,-5.790388971,-15.9640169
0.5601,8,-8,-15.89206778,-5.829320081,-5.808059033,-16.09367348
0.5701,8,-8,-16.02400971,-5.84626427,-5.82513653,-16.21961954
0.5801,8,-8,-16.15354111,-5.863115323,-5.8416268,-16.34182867
0.5901,8,-8,-16.28061342,-5.879830103,-6.003730715,-16.46027788
0.6001,8,-8,-16.40517802,-5.896414812,-6.019866241,-16.57494761
0.6101,8,-8,-16.52718667,-5.91283638,-6.035424115,-16.68582176
0.6201,8,-8,-16.64658895,-6.081798859,-6.050415793,-16.79288774
0.6301,8,-8,-16.76334299,-6.099058195,-6.064853873,-16.89613646
0.6401,8,-8,-16.87716236,-6.116068705,-6.078731908,-16.99556232
0.6501,8,-8,-16.98870634,-6.132818629,-6.092083518,-17.09116321
0.6601,8,-8,-17.09722729,-6.149298213,-6.104910689,-17.18294047
0.6701,8,-8,-17.20296514,-6.16547908,-6.117222795,-17.27089889
0.6801,8,-8,-17.30574672,-6.181350153,-6.129031678,-17.35504662
0.6901,8,-8,-17.40561689,-6.196897112,-6.140346497,-17.43544514
0.7001,8,-8,-17.50252923,-6.212106253,-6.151177624,-17.5120092
0.7101,8,-8,-17.59644095,-6.226964873,-6.161534962,-17.58480673
