L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.BFGS.GA,tiempo.BFGS.LN,tiempo.LC,b.GA,b.LN
3,-1.5,9,-2.413047852,-2.946921846,-1.77641841,-2.553864831,0.37,1.84,0.02,0.536243464,0.921668454
3,-1.5,9,-1.245022542,-1.196015135,-1.206059577,-1.313348906,0.91,2.09,0,0.059871513,0.718458155
3,-1.5,9,-4.202252878,-4.718434734,-1.946801535,-3.129373867,0.39,1.89,0,0.655860225,1.009816537
3,-1.5,9,-20,-18.08797001,-20,0,1.46,1.56,0,0.271236514,0.258005465
3,-1.5,9,-2.577745505,-2.253126863,-2.050803484,-2.929433033,0.75,2.09,0,0.207365574,0.666532201
3,-1.5,9,-1.809083059,-1.607248288,-1.630373825,-2.042507433,0.73,1.41,0,0.139700701,0.651936607
3,-1.5,9,-2.223402697,-2.524415553,-1.736084221,-2.523922517,0.5,2.34,0,0.340154339,0.844086694
3,-1.5,9,-13.30018943,-6.753589923,-6.952096473,-16.84164822,1.75,2.01,0,0.065983002,0.320488868
3,-1.5,9,-20,-20,-20,0,0.83,2.12,0,0.311228015,0.404596419
3,-1.5,9,-1.362079462,-1.24202483,-1.330584167,-1.490872127,1.01,1.22,0,0.021733413,0.260800961
3,-1.5,9,-1.338755623,-1.2466895,-1.32521014,-1.400927612,1.52,1.28,0,0.028322421,0.339869056
3,-1.5,9,-2.143286663,-2.445402405,-1.732065333,-2.307836622,0.34,2.19,0,0.388008283,0.814817393
3,-1.5,9,-20,-20,-20,0,0.78,1.48,0,0.178042417,0.403562813
3,-1.5,9,-6.706032927,-4.099361378,-2.86749004,-7.429810138,1.12,2.4,0,0.427318478,0.688457548
3,-1.5,9,-4.971934712,-4.008926693,-3.007192438,-3.874446836,0.5,2.54,0,0.637416521,0.637416521
3,-1.5,9,-1.624567795,-1.438141585,-1.554945082,-1.78940698,2.1,1.38,0,0.058930787,0.471446298
3,-1.5,9,-2.44512066,-2.491936527,-1.867090154,-2.494599922,0.46,2.06,0,0.359739965,0.819407699
3,-1.5,9,-5.968632709,-4.309074069,-4.839085101,-4.257563419,0.7,1.5,0,0.645291577,0.446740322
3,-1.5,9,-3.013151212,-3.082932652,-2.154757225,-3.263516486,0.64,2.19,0,0.428461705,0.688599169
3,-1.5,9,-2.408569105,-1.93124195,-2.167197215,-2.845191645,1.81,2.01,0,0.02110759,0.36938283
3,-1.5,9,-2.691505096,-3.830502199,-3.957433352,-2.888494527,0.42,1.11,0,0.633482192,0.328472247
3,-1.5,9,-20,-5.492511844,-5.324411694,-5.14444624,1.11,2.4,0,0.629738568,0.565852047
3,-1.5,9,-2.861201482,-2.216343895,-2.46782194,-3.206736037,0.99,1.39,0,0.125526021,0.502104085
3,-1.5,9,-2.299305116,-2.272108965,-2.689743656,-2.712801657,1.03,2.3,0,0.162145116,0.11581794
3,-1.5,9,-1.612463675,-1.582725818,-1.476552953,-1.653582881,0.72,1.38,0,0.245003657,0.789456229
3,-1.5,9,-1.348231142,-1.263554547,-1.319641721,-1.367430033,1.18,1.2,0,0.032999393,0.461991505
3,-1.5,9,-1.678127793,-1.604267503,-1.526228021,-1.881362967,1.32,1.81,0,0.128863691,0.699545752
3,-1.5,9,-1.503593724,-1.313550681,-1.42188371,-1.679968227,6.89,6.01,0,0.05599371,0.52260796
3,-1.5,9,-1.937879809,-1.815161379,-1.680195341,-2.082772142,1.11,1.85,0,0.214971592,0.742629135
3,-1.5,9,-1.787288957,-1.738845087,-1.597568412,-2.026429837,5.23,2.7,0,0.169464333,0.693263179
3,-1.5,9,-1.81339518,-1.818840793,-1.671595924,-2.001817173,1.03,1.92,0,0.196980427,0.59094128
3,-1.5,9,-1.900227323,-2.310576277,-1.601252977,-2.033196213,0.65,1.71,0,0.427854083,0.937204183
3,-1.5,9,-1.708194782,-1.644776893,-1.548922126,-1.760088382,1.15,1.65,0,0.236629936,0.736182022
3,-1.5,9,-1.770738789,-1.593784069,-1.702380911,-1.867574337,2.58,1.45,0,0.044447583,0.311133084
3,-1.5,9,-2.505787054,-2.05042668,-2.531607026,-2.821529344,1.9,1.61,0,0.037038868,0.358042387
3,-1.5,9,-1.318652724,-1.22493527,-1.254505976,-1.485421954,8.62,1.84,0,0.054209147,0.614370327
3,-1.5,9,-2.575308699,-2.091869904,-2.275021158,-2.727451559,0.91,1.44,0,0.159737115,0.539112763
3,-1.5,9,-2.618414451,-2.164067244,-2.480465465,-2.836025464,1.26,1.01,0,0.074479869,0.391019314
3,-1.5,9,-1.705064316,-3.209067653,-1.601498874,-1.954004614,0.87,2.76,0,0.60734704,1.012245066
3,-1.5,9,-3.024474457,-3.301039603,-1.947593226,-3.245558588,2.17,2.78,0,0.515714791,0.863822275
3,-1.5,9,-3.511015163,-2.656854856,-2.568415325,-4.083681137,1.69,1.79,0,0.190297179,0.608950974
3,-1.5,9,-1.180552018,-1.18213908,-1.152982541,-1.252435745,4.73,4.7,0,0.090111105,0.991222157
3,-1.5,9,-1.382003481,-1.4331505,-1.310627635,-1.453377287,2.5,0.94,0,0.201176917,0.833447228
3,-1.5,9,-3.186012367,-2.775418183,-2.974966902,-3.529781852,1.41,1.2,0,0.054209731,0.361398205
3,-1.5,9,-6.513897411,-4.109857908,-4.716271295,-10.35038502,2.04,2.56,0,0.100960634,0.403842534
3,-1.5,9,-3.892260335,-2.802029018,-3.182417476,-4.603110401,2.36,2.04,0,0.068292044,0.386988248
3,-1.5,9,-1.346655695,-1.459710362,-1.277948622,-1.490562529,1.33,1.56,0,0.174240727,0.784083272
3,-1.5,9,-3.30290997,-2.685992499,-2.417155446,-3.42057464,1.5,1.76,0,0.259687794,0.649219485
3,-1.5,9,-1.793499051,-1.646054621,-2.27186135,-2.010984341,2.19,1.53,0,0.018506446,0.111038675
3,-1.5,9,-2.444575,-2.221924013,-2.824369713,-2.730260754,2.51,0.9,0,0.01682768,0.117793759
3,-1.5,9,-1.227758275,-1.176046083,-1.201638203,-1.241372674,1.81,6.13,0,0.073265391,0.366326955
3,-1.5,9,-1.247934579,-1.250694767,-1.201916868,-1.356897589,0.99,1.5,0,0.079446542,0.820947596
3,-1.5,9,-6.492153122,-4.051342453,-4.49861464,-10.10864508,2.84,2.85,0,0.122511064,0.441039831
3,-1.5,9,-1.446546684,-1.354585496,-1.37955954,-1.556953584,2.46,1.33,0,0.074183512,0.642923769
3,-1.5,9,-4.1377216,-3.251022239,-2.82956189,-4.722850751,3.09,1.52,0,0.295327352,0.576591496
3,-1.5,9,-1.66847279,-1.529340896,-1.521920265,-1.88806285,2.32,1.67,0,0.141402011,0.675587385
3,-1.5,9,-1.688138549,-1.890845869,-1.485091004,-2.046805271,1.98,2.98,0,0.138750141,0.740000753
3,-1.5,9,-1.901848348,-2.034792102,-1.626458454,-2.113713898,1.98,1.49,0,0.263881118,0.791643353
3,-1.5,9,-6.534174621,-4.224181194,-2.46185344,-5.842066148,2.11,2.68,0,0.554695282,0.771749957
3,-1.5,9,-2.236507437,-1.791877685,-2.090733867,-2.214503598,1.62,0.71,0,0.1233357,0.46867566
3,-1.5,9,-1.962328904,-3.35095298,-5.853453871,-2.186818092,1.28,1.74,0,0.59558385,0.297791925
3,-1.5,9,-3.556148359,-3.552367057,-2.078435405,-3.659597258,1.34,2.48,0,0.530615394,0.826772823
3,-1.5,9,-2.345727062,-2.444684686,-1.84338257,-2.563740886,1.03,1.9,0,0.341956491,0.773901532
