L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.MV,tiempo.BFGS.GA,tiempo.BFGS.LN,tiempo.LC,b.GA,b.LN
8,-1.5,9,-3.028886175,-2.370264418,-2.232651748,-3.151928215,0.15,1.09,0.93,0,0.212483707,0.580788799
8,-1.5,9,-1.902305463,-1.728426764,-1.671991315,-2.002473479,0,1.25,0.89,0,0.186212783,0.577259627
8,-1.5,9,-1.137308898,-1.114209946,-1.117258331,-1.161556664,0,9.38,5.86,0,0.03730167,0.634128385
8,-1.5,9,-2.973481615,-3.064564738,-2.17370785,-3.708627362,0,1.17,1.68,0,0.597837931,0.764880882
8,-1.5,9,-1.754052872,-2.332300972,-1.750306236,-2.168867395,0,0.75,1.22,0,0.556485256,0.864016582
8,-1.5,9,-1.982912305,-1.90426409,-1.66099273,-2.26316695,0.01,1.1,0.8,0,0.22499431,0.745293653
8,-1.5,9,-2.619889116,-2.75403664,-2.001312187,-3.160789144,0,0.97,1.32,0,0.560572358,0.782868293
8,-1.5,9,-8.469066081,-4.141127646,-8.45293358,-9.067676376,0,1.81,0.86,0,0.23158926,0.108557466
8,-1.5,9,-1.892756759,-1.775425397,-1.628312229,-2.016772242,0.02,1.06,0.75,0,0.220618236,0.661854709
8,-1.5,9,-1.783134715,-2.273667057,-1.605126731,-2.158261694,0,0.8,1.64,0,0.542322273,0.908756241
8,-1.5,9,-1.904647577,-1.622807678,-1.891843701,-2.039294416,0,1.06,2.22,0,0.129072416,0.086048278
8,-1.5,9,-1.09365191,-1.064257188,-1.079211898,-1.121039905,0,10.03,5.9,0,0.036058218,0.504815057
8,-1.5,9,-4.893582531,-3.106160502,-3.011783182,-5.016553855,0,2.36,1.25,0,0.211847905,0.524044818
8,-1.5,9,-2.869413855,-2.798954435,-2.014243211,-3.428847593,0,2.01,1.27,0,0.551115818,0.745627283
8,-1.5,9,-4.819825872,-3.156251007,-2.625275721,-5.250549464,0,1.8,1.42,0,0.390958227,0.625533164
8,-1.5,9,-1.52593872,-1.337477688,-1.521743568,-1.799684031,0,4.47,2.39,0,0.017011306,0.11907914
8,-1.5,9,-2.117173622,-2.097816893,-1.739237864,-2.321916564,0.02,1.25,1.42,0,0.337524978,0.7594312
8,-1.5,9,-1.4484324,-1.380262074,-1.379877292,-1.57977953,0,1.18,0.8,0,0.116308304,0.64800341
8,-1.5,9,-4.02732613,-3.157717746,-3.862857126,-4.614607458,0,1.75,0.86,0,0.489689071,0.284019661
8,-1.5,9,-5.227128667,-3.283303791,-3.180181806,-5.537233273,0,2.09,1.83,0,0.180104563,0.50239694
8,-1.5,9,-3.047289195,-2.516107305,-2.14345196,-3.291212557,0,1.72,1.63,0,0.336196016,0.6465308
8,-1.5,9,-13.79754488,-4.4344269,-3.793631455,-13.03908555,0,2.5,1.61,0,0.326975251,0.544958752
8,-1.5,9,-20,-20,-20,0,0,3.06,2.15,0,0.007707428,0.107903993
8,-1.5,9,-1.938980005,-1.72553755,-1.732892369,-2.090413987,0,1.85,1.18,0,0.123566865,0.51191987
8,-1.5,9,-3.791512919,-2.737860136,-5.337170489,-4.388817691,0,2.5,2.66,0,0.085201542,0.023236784
8,-1.5,9,-1.851590328,-1.635308946,-1.715997981,-2.240126738,0,4.09,6.22,0,0.014493019,0.391311505
8,-1.5,9,-4.963761308,-3.554165985,-2.704756824,-5.671557048,0,2.91,2.39,0,0.448486688,0.60628756
8,-1.5,9,-2.878524313,-3.115831985,-2.23672161,-3.671796832,0.01,2.78,2.09,0,0.585446229,0.724838189
8,-1.5,9,-2.285863443,-2.21491573,-1.872592972,-2.570047318,0,1.69,1.49,0.02,0.317816621,0.5941789
8,-1.5,9,-2.31374446,-2.097815299,-1.837893128,-2.429885002,0,2.42,1.36,0,0.293450247,0.673209389
8,-1.5,9,-19.9970438,-4.842847205,-4.106039357,-16.40482899,0,3.91,2.55,0,0.309093519,0.525458982
8,-1.5,9,-2.725404063,-2.367270262,-2.670447488,-2.9245492,0,2.14,1.29,0,0.323680762,0.191265905
8,-1.5,9,-1.067072402,-1.056407102,-1.05218463,-1.080449215,0,20.89,8.41,0,0.041095764,0.739723747
8,-1.5,9,-3.521793356,-3.223901052,-3.456161752,-3.851318372,0,3.02,1.33,0,0.009224329,0.119916271
8,-1.5,9,-1.576461964,-1.417131161,-1.45346125,-1.672499521,0.03,2.47,0.83,0,0.080327521,0.562292648
8,-1.5,9,-2.949817792,-2.728893899,-2.05258983,-3.37709501,0.01,2.06,1.78,0,0.469985063,0.724031043
8,-1.5,9,-3.315176955,-3.134233538,-2.330429261,-4.073009262,0,2.68,1.64,0,0.519619296,0.600249876
8,-1.5,9,-1.155404077,-1.117903248,-1.123271804,-1.161976372,0.02,3.22,1.39,0,0.076575232,0.650889468
8,-1.5,9,-1.73883843,-1.611409452,-1.69752199,-1.754061933,0.02,2.94,2.58,0,0.02310123,0.207911074
8,-1.5,9,-2.421182706,-2.682935462,-1.879205235,-2.958952692,0,1.97,1.2,0,0.573276628,0.802587279
8,-1.5,9,-11.04757537,-8.710993698,-8.552170228,-12.4735961,0.02,2.3,1,0,0.03102329,0.22491885
8,-1.5,9,-2.429397172,-2.371364479,-2.391111595,-2.24257716,0.02,2.11,0.78,0,0.02029876,0.243585124
8,-1.5,9,-3.6529781,-2.668070411,-2.438733263,-3.778192161,0,2.78,1.12,0,0.262482706,0.590586088
8,-1.5,9,-1.490299773,-2.041196677,-1.443939618,-1.850618415,0,1.59,1.5,0,0.398786069,0.990922959
8,-1.5,9,-1.970730504,-2.126750688,-1.668701236,-2.313718012,0,2.08,1.59,0,0.327906626,0.668425044
8,-1.5,9,-2.05071315,-2.182354474,-1.695480071,-2.379886687,0,1.79,1.4,0,0.374610718,0.709084572
8,-1.5,9,-2.751330287,-2.601802368,-1.981889074,-3.131725438,0.01,2,1.3,0,0.453956397,0.756593996
8,-1.5,9,-1.994736447,-1.932575198,-1.704175702,-2.084254584,0,1.92,1.08,0,0.307961099,0.718575897
8,-1.5,9,-1.583250716,-1.375737993,-1.517369823,-1.72852419,0.02,3.11,1.5,0,0.04075671,0.101891775
8,-1.5,9,-20,-5.5565299,-4.970530589,0,0,2.6,1.2,0,0.264021031,0.489404838
8,-1.5,9,-1.657225339,-1.486193118,-1.485481679,-1.792952322,0,2.5,1.03,0,0.141458509,0.644422095
8,-1.5,9,-12.80544726,-14.20078538,-19.08570305,-12.59193801,0.02,1.78,1.51,0,0.006153962,0.080001504
8,-1.5,9,-1.613331066,-1.5871418,-1.450520717,-1.76012924,0,2.35,1.93,0,0.179515983,0.69811771
