L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.MV,tiempo.BFGS.GA,tiempo.BFGS.LN,b.GA,b.LN
3,-1.5,9,-1.223552721,-1.306339737,-1.195237971,-1.204806507,0.16,0.81,2.45,0.155355812,0.801308925
3,-1.5,9,-2.494033318,-2.547204976,-4.440649379,-2.945533847,0,0.87,0.92,0.074748096,0.130809169
3,-1.5,9,-1.752992185,-1.993244858,-1.994027088,0,0.01,0.78,0.72,0.155770865,0.467312594
3,-1.5,9,-1.521959744,-1.483652447,-1.443594407,-1.35811561,0,1,1.08,0.204319818,0.583770908
3,-1.5,9,-1.270023619,-1.218743459,-1.252450952,-1.205222467,0,0.81,1.14,0.058376985,0.324316585
3,-1.5,9,-2.041535227,-1.623889477,-1.964854857,-1.528968987,0.01,0.89,0.9,0.143590414,0.333931196
3,-1.5,9,-1.525874013,-1.395806342,-1.446412282,-1.384335172,0,3.57,1.02,0.122734861,0.62390221
3,-1.5,9,-1.332992723,-1.293651451,-1.277479976,-1.460153208,0.01,1.38,1.37,0.159582129,0.718119581
3,-1.5,9,-1.516205076,-1.727049458,-1.3968129,-3.017220829,0,0.56,0.52,0.309273519,0.927820556
3,-1.5,9,-1.600378483,-1.450656087,-1.53957408,-1.549941668,0,0.46,0.66,0.048325352,0.531578872
3,-1.5,9,-1.325451343,-1.717535489,-1.300091922,-1.465474777,0,0.44,0.92,0.220384822,0.939535294
3,-1.5,9,-1.445051061,-1.396837551,-1.398028096,-1.755216135,0.01,0.61,0.81,0.126799733,0.633998664
3,-1.5,9,-1.606750631,-1.78461745,-1.573681055,-1.421012815,0,0.63,0.98,0.329004125,0.548340209
3,-1.5,9,-1.694145358,-1.496076086,-1.625497114,-1.708312651,0,0.51,0.44,0.049048484,0.453698476
3,-1.5,9,-1.509459383,-1.380613881,-1.441644516,-1.384663192,0,0.61,1.5,0.104922563,0.608550865
3,-1.5,9,-1.763007345,-1.696134084,-1.721214874,-2.567639305,0,0.49,0.54,0.233597123,0.622925661
3,-1.5,9,-2.151300091,-2.132112732,-2.189087702,-1.721278924,0,0.57,0.82,0.269164761,0.302810356
3,-1.5,9,-1.39887275,-1.250583055,-2.806699845,-1.28593932,0,0.85,1.74,0.002986722,0.071681334
3,-1.5,9,-2.255000339,-2.475234532,-1.782139282,-2.0935166,0,0.56,0.59,0.345246875,0.783444832
3,-1.5,9,-1.470486175,-1.261698005,-1.372683885,-1.859074853,0,1.24,2.77,0.052339391,0.453608059
3,-1.5,9,-1.801503706,-1.638098731,-1.904896029,-2.634035418,0,0.69,1.17,0.030081915,0.120327662
3,-1.5,9,-1.324759157,-1.377252854,-1.265346083,-1.757673705,0,0.44,0.94,0.184221866,0.921109328
3,-1.5,9,-1.979618089,-1.759821165,-1.912803629,-1.88990758,0,0.27,0.75,0.166787235,0.271029257
3,-1.5,9,-1.281903447,-1.220630641,-1.243203542,-1.334271856,0,1.22,1.16,0.072334898,0.651014085
3,-1.5,9,-1.17452134,-1.134962712,-1.148050349,-1.190221943,0.02,0.95,1.17,0.02481963,0.769408541
3,-1.5,9,-1.363858431,-1.455187147,-1.327221354,-1.292303213,0,1.03,1.4,0.211504827,0.542320069
3,-1.5,9,-2.335781092,-1.974746907,-1.971039149,-1.892332572,0,0.56,0.75,0.192064163,0.63268195
3,-1.5,9,-1.668293385,-1.497374355,-1.644322843,-1.502822354,0,0.61,1.36,0.045531297,0.391569158
3,-1.5,9,-1.429166106,-1.572020158,-1.34148165,-1.379964647,0.01,0.72,0.82,0.236979181,0.906702955
3,-1.5,9,-1.265742541,-1.270677336,-1.217776182,-1.479500175,0,4.04,1.25,0.121039991,0.847279934
3,-1.5,9,-4.089672328,-3.921090132,-4.45160207,0,0,1.17,1.65,0.017421942,0.156797474
3,-1.5,9,-1.378679832,-1.469720451,-1.306018736,-2.025163825,0,0.41,1.02,0.338861599,1.016584798
3,-1.5,9,-1.544506084,-1.398771946,-1.467018035,-1.614040487,0,0.59,0.54,0.102332029,0.593525766
3,-1.5,9,-1.433110848,-1.525945173,-1.368936815,-5.155646206,0,0.49,0.82,0.170070101,0.850350507
3,-1.5,9,-2.162598694,-1.787400122,-1.950969805,-2.012275363,0,0.34,0.7,0.122179577,0.543020343
3,-1.5,9,-1.557661689,-2.044779385,-1.656772631,-1.413222994,0,0.5,1.06,0.369946295,0.536154051
3,-1.5,9,-1.512530723,-1.443256263,-1.402033902,-1.431485085,0,0.64,0.83,0.108067387,0.77190991
3,-1.5,9,-2.213960879,-1.940206964,-1.960320053,-3.973504364,0,0.57,0.63,0.205954648,0.643608275
3,-1.5,9,-1.33663115,-1.260730698,-1.329760491,-1.242155843,0,1.56,1.12,0.063449338,0.352496323
3,-1.5,9,-10.19377093,-4.009319192,-20,-2.566370142,0.01,0.75,2.56,0.244541845,0.03721289
3,-1.5,9,-1.71856344,-1.514179612,-1.625470746,-1.446964753,0,0.86,1.09,0.107724268,0.53862134
3,-1.5,9,-1.167659285,-1.145662592,-1.163847545,-1.119443068,0,0.81,1.71,0.102904261,0.165974615
3,-1.5,9,-1.267218442,-1.210049423,-1.382675819,-1.267935098,0,0.71,2.51,0.010472142,0.052360709
3,-1.5,9,-1.258411562,-1.239757286,-1.274734983,-1.175945022,0,1.48,1.38,0.049336395,0.189755365
3,-1.5,9,-1.347259384,-2.179165336,-1.342606871,-1.469965544,0,0.53,0.63,0.308591357,1.102111988
3,-1.5,9,-1.756901485,-1.624005827,-1.595948786,-1.51311445,0.02,0.95,1.02,0.018437198,0.654520514
3,-1.5,9,-1.69633102,-1.426648934,-1.724772376,-2.277957143,0,1.79,2,0.020191468,0.262489085
3,-1.5,9,-1.936370104,-2.006811533,-1.634832377,-1.810785551,0,0.55,0.53,0.176329072,0.793480824
3,-1.5,9,-2.139464495,-2.357458444,-7.165790864,-1.752481558,0,0.58,3.12,0.331633816,0.06109044
3,-1.5,9,-2.698308621,-3.093205838,-1.865957472,-2.698415604,0,0.37,0.97,0.514633927,0.913060193
3,-1.5,9,-1.661710053,-1.485344595,-1.61865734,-1.419674467,0,0.7,1.58,0.059262736,0.455867202
3,-1.5,9,-1.537529834,-1.395695501,-1.496024664,-1.370250426,0.01,0.71,0.82,0.052127347,0.434394562
3,-1.5,9,-3.303260285,-3.17388062,-2.602664033,-1.982545946,0,0.67,1.04,0.338102404,0.497209417
3,-1.5,9,-1.306953805,-1.200888493,-1.285724545,-1.284454265,0,0.5,0.89,0.0201784,0.504459992
3,-1.5,9,-5.462129218,-4.324362376,-2.294852543,-3.581453842,0,0.52,0.85,0.529977444,0.785828623
3,-1.5,9,-2.068423317,-1.541941312,-1.755565097,0,0,0.44,0.59,0.07171365,0.573709201
3,-1.5,9,-1.489828067,-2.075080843,-1.451661623,-1.476687528,0,0.61,0.62,0.400914146,1.098801735
3,-1.5,9,-1.449795109,-1.484380119,-1.435867996,-1.414554935,0,0.64,0.63,0.161389093,0.372436368
3,-1.5,9,-1.287654942,-1.262711193,-1.247289896,-1.336071375,0,0.65,0.82,0.039859022,0.783894098
3,-1.5,9,-1.417776216,-1.44216719,-1.335325813,-1.329450654,0,0.68,1.07,0.187866901,0.787251775
3,-1.5,9,-1.168456917,-1.349568648,-1.188816085,-1.196250241,0.01,0.61,0.91,0.163874907,1.256374286
3,-1.5,9,-1.925801549,-1.546086432,-1.77494362,-1.988990436,0,0.76,0.67,0.051428362,0.421712568
3,-1.5,9,-1.495050887,-1.488125756,-1.549024615,-1.358726612,0,1.23,1.87,0.004521465,0.235116156
3,-1.5,9,-2.216807866,-2.048002725,-2.199584667,0,0.02,0.61,0.8,0.131946221,0.560771438
3,-1.5,9,-1.593070442,-2.378898642,-1.472890849,-1.553588808,0,0.64,0.38,0.280088124,0.75699493
3,-1.5,9,-1.347608283,-1.285816781,-1.32747,-1.232778225,0,0.68,3.18,0.146304852,0.325121892
3,-1.5,9,-1.555179939,-1.633902052,-1.766778436,0,0,0.53,0.81,0.152087859,0.456263576
3,-1.5,9,-1.929839062,-1.805152505,-1.750031535,-1.870948664,0,0.48,0.5,0.215483883,0.610537669
3,-1.5,9,-1.384247961,-1.6705861,-1.317246021,-1.861974042,0,0.58,0.75,0.286288194,1.00200868
3,-1.5,9,-1.618135298,-1.646629203,-1.516120275,-1.438307231,0,0.56,0.95,0.237484392,0.593710981
3,-1.5,9,-1.405411459,-1.415124495,-1.398662538,-1.281442619,0,0.61,1.06,0.217555146,0.41837528
3,-1.5,9,-1.510942644,-1.540657261,-1.39532623,-1.785233343,0,0.92,3.23,0.186628232,0.808722337
3,-1.5,9,-1.966103289,-1.84639637,-2.187613966,0,0.01,0.83,1.81,0.04218207,0.12654621
3,-1.5,9,-1.542435486,-1.482953421,-1.542280621,-1.439174585,0,0.65,1.25,0.147397088,0.307077266
3,-1.5,9,-1.446161954,-1.40044421,-1.404580811,-1.298374497,0,0.64,1.28,0.200033615,0.303081234
3,-1.5,9,-1.639798374,-1.720387783,-1.471920642,-2.072543388,0,1.28,2.02,0.254804171,0.849347237
3,-1.5,9,-1.348192443,-1.356735455,-1.338571281,-1.251426565,0,0.51,1.81,0.163052832,0.524098388
3,-1.5,9,-3.423519035,-7.383355476,-2.210789181,-2.281782937,0,1.14,0.97,0.113400345,0.667060853
3,-1.5,9,-1.496375096,-1.40924997,-1.386999151,-1.655702246,0,0.7,1.11,0.124969501,0.749817006
3,-1.5,9,-1.280753306,-1.19222223,-1.264666146,-1.179037684,0,1.17,1.56,0.072236303,0.14163981
3,-1.5,9,-1.451142798,-1.505232728,-1.697033869,-1.296075405,0,1.06,1.42,0.245841967,0.346256291
3,-1.5,9,-1.765788998,-1.890746711,-1.544125335,-1.85775449,0,0.33,0.99,0.238623793,0.818138719
3,-1.5,9,-1.298419559,-1.670277309,-1.272073573,-1.549345843,0,1.29,3.59,0.223864465,0.985003648
3,-1.5,9,-1.520779083,-1.563949953,-1.451644872,-2.668730641,0,0.45,1.51,0.19966952,0.798678079
3,-1.5,9,-1.412879443,-1.304028609,-1.364971395,-1.311689936,0.02,0.72,1.23,0.10117664,0.586824513
3,-1.5,9,-1.827756246,-1.686912443,-1.711607032,-3.49014705,0.02,0.51,0.74,0.216387524,0.649162571
3,-1.5,9,-1.360753604,-1.431616798,-1.297585515,-1.457953802,0,0.65,1.36,0.234335884,0.859231576
3,-1.5,9,-1.608449521,-1.431722137,-1.55526862,-1.61651178,0.02,0.54,0.58,0.074409554,0.496063696
3,-1.5,9,-1.446816589,-1.536645971,-1.354252333,-1.722967784,0,0.73,3.78,0.182832134,0.80446139
3,-1.5,9,-1.576538542,-1.398010484,-1.5025741,-1.460657469,0,0.45,0.8,0.106996104,0.565550838
3,-1.5,9,-1.775104384,-1.647028315,-1.733333789,-1.514907354,0,0.67,1.08,0.171862934,0.343725868
3,-1.5,9,-1.476332307,-1.425782409,-1.386644314,-1.479788355,0,1.04,2.24,0.070712757,0.749555224
3,-1.5,9,-1.274491558,-1.188953364,-1.250237609,-1.224832351,0,0.58,0.99,0.053779719,0.510907327
3,-1.5,9,-1.544164911,-1.457967446,-1.440989127,-2.486484783,0,0.41,0.67,0.158432453,0.673337925
3,-1.5,9,-1.540655909,-1.391057409,-1.435111652,-1.783947865,0,0.57,1.46,0.152389143,0.685751142
3,-1.5,9,-1.36235427,-1.314290874,-1.325650584,-1.281880969,0,1.92,1.38,0.10222116,0.538006106
3,-1.5,9,-2.303643437,-3.158027943,-20,-1.99030094,0,0.67,3.32,0.431679963,0.067150216
3,-1.5,9,-1.357073515,-1.27691736,-1.416995898,-1.257414642,0,0.78,2.73,0.094154105,0.053802346
3,-1.5,9,-1.457180936,-1.399759142,-1.359300206,-1.5435471,0,0.56,0.83,0.113819285,0.777765117
3,-1.5,9,-1.756033185,-1.683274447,-2.685351573,-1.570019087,0,0.87,3.09,0.008828615,0.052971691
3,-1.5,9,-1.408335768,-1.34307812,-1.35036033,-1.362706204,0,0.55,0.96,0.021097563,0.703252114
3,-1.5,9,-1.226467293,-1.180632866,-1.223773454,-1.204635518,0,0.59,1.25,0.060844455,0.234685755
3,-1.5,9,-1.32185137,-1.288115977,-1.339684567,-1.218796785,0,1.03,2.15,0.003975803,0.075540258
3,-1.5,9,-1.511015418,-1.427653062,-1.551146697,-1.404917217,0,4.66,1.65,0.006734556,0.121222006
3,-1.5,9,-1.599262965,-2.108852417,-1.477837227,-1.691770552,0,0.5,0.93,0.339167898,1.076489414
3,-1.5,9,-3.026751098,-2.177990125,-2.640547655,-1.860915389,0,0.47,0.9,0.104127552,0.468573986
3,-1.5,9,-2.072211074,-2.309182364,-1.848715015,-2.089955593,0,0.54,0.81,0.260617885,0.560328453
