L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.BFGS.GA,tiempo.BFGS.LN,tiempo.LC,b.GA,b.LN
8,-1.5,9,-1.360993285,-1.263739181,-1.308599106,-1.245862405,0.78,0.721,0.02,0.065778388,0.513071429
8,-1.5,9,-1.537163474,-1.350498909,-1.512826866,-1.711260211,1.45,0.675,0,0.013364739,0.200471083
8,-1.5,9,-1.428901496,-1.364291041,-1.424176256,-1.30634418,1.19,1.265,0,0.01580527,0.276592228
8,-1.5,9,-1.550708391,-1.429851227,-1.549728602,-3.494601762,0.72,0.305,0,0.135708018,0.407124054
8,-1.5,9,-1.613781819,-1.53439746,-1.482981448,-1.402768958,1.09,1.028,0,0.175197423,0.625705081
8,-1.5,9,-1.273645361,-1.223239662,-1.223388888,-1.213273397,1.02,1.302,0,0.102196992,0.622472585
8,-1.5,9,-2.267319476,-1.824436767,-1.969228473,-1.631195043,0.57,0.587,0,0.198412899,0.440917554
8,-1.5,9,-1.637052396,-1.500361779,-1.472349275,-1.42580124,0.61,0.621,0,0.154925776,0.636011081
8,-1.5,9,-1.391092218,-1.317582293,-1.315079241,-1.519347453,1.64,1.356,0,0.15115657,0.604626279
8,-1.5,9,-1.589454893,-1.736151654,-1.441150138,-5.111295398,0.43,0.388,0,0.344982329,0.82795759
8,-1.5,9,-1.61844894,-1.484328776,-1.472787091,-1.506412338,0.78,0.373,0,0.134233047,0.604048713
8,-1.5,9,-1.337053671,-1.209016892,-1.312372759,-1.533814539,1.56,1.034,0,0.010696094,0.192529688
8,-1.5,9,-1.458796687,-1.479241665,-1.399611998,-1.815367284,0.42,0.848,0,0.233294548,0.699883645
8,-1.5,9,-1.488475532,-1.644020699,-2.471936654,-1.376943526,1.69,1.188,0,0.005388298,0.059271276
8,-1.5,9,-1.744570621,-1.614583623,-1.710096131,-2.078236081,3.08,0.646,0,0.019904322,0.238851859
8,-1.5,9,-1.63403289,-1.45917175,-1.540803719,-1.391321487,0.89,0.606,0,0.051970022,0.452881618
8,-1.5,9,-1.799518737,-1.566760451,-1.758200753,-1.677977358,0.51,2.011,0,0.153656747,0.038414187
8,-1.5,9,-1.685232639,-1.577944265,-1.522431582,-2.295019269,0.7,0.362,0,0.183907286,0.689652323
8,-1.5,9,-1.257346804,-1.370592853,-1.230323613,-1.224282762,1.08,1.321,0,0.215135562,0.398399189
8,-1.5,9,-1.422817287,-1.32414042,-1.345599482,-1.450892828,2.34,0.463,0,0.018202938,0.564291075
8,-1.5,9,-1.531784785,-1.792180175,-1.43070372,-1.564815292,0.77,0.933,0,0.333456632,0.847535606
8,-1.5,9,-1.474145102,-1.366467574,-1.423388679,-1.618158983,1.05,0.458,0,0.0185407,0.333732604
8,-1.5,9,-1.290540071,-1.447177108,-1.503663102,-1.25496468,1.27,1.245,0,0.009223389,0.285925057
8,-1.5,9,-1.382842604,-1.385223869,-1.295487105,-1.475082004,0.92,0.682,0,0.158401588,0.760327621
8,-1.5,9,-1.375438825,-1.365854778,-1.302165296,-1.817095179,1.28,0.582,0,0.172414929,0.689659715
8,-1.5,9,-1.884554781,-1.745050654,-1.851638823,-1.797118164,0.81,0.473,0,0.219137887,0.235994648
8,-1.5,9,-1.361576628,-1.26101819,-1.337075672,-1.383556444,1.86,0.498,0,0.041691687,0.333533495
8,-1.5,9,-1.251204153,-1.182755086,-1.207484121,-1.238519231,1.29,0.617,0,0.064713666,0.582422998
8,-1.5,9,-1.411514419,-1.397185595,-1.355979778,-1.290682103,2.06,0.71,0,0.204408155,0.454240345
8,-1.5,9,-1.285291039,-1.407590576,-1.285488821,-1.439522512,1.78,1.046,0,0.264870524,0.953533885
8,-1.5,9,-1.882373227,-1.733428222,-1.92836222,-2.477394031,1.52,0.396,0,0.076343126,0.381715628
8,-1.5,9,-1.50928049,-1.619858253,-1.396032728,-1.446814909,1.72,0.466,0,0.269116314,0.807348942
8,-1.5,9,-1.497917545,-1.844994129,-1.415311357,0,1.42,1.536,0,0.407230393,0.916268384
8,-1.5,9,-1.227012751,-1.236884754,-1.185763394,-1.194384398,1.38,0.555,0,0.135259089,0.769286067
8,-1.5,9,-1.577548602,-1.557384609,-1.55595719,-1.592574955,0.81,0.39,0,0.199488974,0.29016578
8,-1.5,9,-1.364978186,-1.22044845,-1.309007776,-2.299562927,10.62,0.581,0,0.054259723,0.271298617
8,-1.5,9,-1.472489955,-1.421003167,-1.419703092,-1.308407853,2.7,0.668,0,0.20940577,0.354925034
8,-1.5,9,-1.36443378,-1.291202901,-1.31388155,-1.587900251,2.45,0.628,0.01,0.136540161,0.546160644
8,-1.5,9,-1.611601919,-1.621708512,-1.472134907,-1.912913659,2.83,1.405,0,0.295629939,0.68980319
8,-1.5,9,-1.525606963,-1.411489796,-1.485854271,-1.348717279,2.75,0.737,0,0.085753558,0.31238796
8,-1.5,9,-1.420136909,-1.352566505,-1.335847134,-1.328629625,3.73,0.683,0,0.094346777,0.652565208
8,-1.5,9,-1.856193084,-1.724655748,-1.829138663,-1.880961503,1.36,0.532,0,0.213042764,0.236714182
8,-1.5,9,-1.635495647,-1.553366392,-1.473275764,-1.576911249,1.17,0.342,0,0.173558666,0.679771443
8,-1.5,9,-1.583123532,-1.640623573,-1.553627517,-1.565356385,1.33,0.487,0,0.212748501,0.312031134
8,-1.5,9,-1.723640195,-1.632751881,-1.657702314,-1.35935282,2.12,1.481,0,0.008653434,0.062737394
8,-1.5,9,-1.942362051,-1.587185847,-1.829072423,-1.477248854,1.95,0.903,0,0.139933343,0.341300838
8,-1.5,9,-1.915354657,-1.688183579,-1.829772453,-1.475016773,2.72,0.819,0,0.037281924,0.342993701
8,-1.5,9,-1.256467557,-1.191499279,-1.245336476,-1.160505715,2.34,1.333,0,0.097070797,0.22574604
8,-1.5,9,-1.387921985,-1.311269418,-1.358193776,-1.369430048,1.62,0.508,0,0.011255018,0.281375452
8,-1.5,9,-1.321244214,-1.285652219,-1.335317857,-1.209426036,2.05,1.142,0,0.008258158,0.171356784
8,-1.5,9,-1.386332947,-1.758720341,-1.343739721,-1.604878634,0.92,0.753,0,0.329462342,0.955440791
8,-1.5,9,-1.665175734,-1.575246082,-1.50027153,-1.572508269,1.02,0.727,0,0.160866349,0.611292125
8,-1.5,9,-1.666005218,-1.472595716,-1.583857259,-1.850421316,1.97,0.447,0,0.028843652,0.331702003
8,-1.5,9,-1.413285212,-1.328712008,-1.325349165,-1.317365103,1.75,0.683,0,0.083649215,0.627369114
8,-1.5,9,-1.901475404,-2.108176533,-1.657199836,-1.722599723,1.95,0.432,0,0.346157266,0.60788593
8,-1.5,9,-1.625636893,-1.592139613,-1.457772028,-1.614027603,1.03,0.487,0,0.196880172,0.696652918
8,-1.5,9,-1.281227867,-1.242144656,-1.223115559,-1.308181525,2.03,0.659,0,0.119278139,0.685849301
